step,n_forces,force_relax_used,force_residual,sample_fx,sample_fy,sample_fz
136,80,0.200000,1.144541e+00,6.251719e-11,1.212021e-09,-5.518350e-06
137,80,0.200000,9.366765e-01,8.970328e-11,1.478659e-09,-6.934544e-06
138,80,0.200000,7.936596e-01,1.263665e-10,1.731650e-09,-8.360144e-06
139,80,0.200000,6.870909e-01,1.193602e-10,1.967006e-09,-9.794859e-06
140,80,0.200000,6.054724e-01,1.056677e-10,2.180117e-09,-1.123211e-05
141,80,0.200000,5.405785e-01,8.717608e-11,2.366727e-09,-1.266295e-05
142,80,0.200000,4.878840e-01,4.916459e-11,2.527528e-09,-1.410577e-05
143,80,0.200000,4.427281e-01,-3.358874e-11,2.657338e-09,-1.554306e-05
144,80,0.200000,4.032954e-01,-1.611341e-10,2.751086e-09,-1.695771e-05
145,80,0.200000,3.684890e-01,-3.304725e-10,2.804312e-09,-1.833627e-05
146,80,0.200000,3.375300e-01,-5.318119e-10,2.813446e-09,-1.966996e-05
147,80,0.200000,3.095785e-01,-7.343371e-10,2.775558e-09,-2.095049e-05
148,80,0.200000,2.841687e-01,-9.638001e-10,2.689024e-09,-2.217290e-05
149,80,0.200000,2.607541e-01,-1.185191e-09,2.553541e-09,-2.333105e-05
150,80,0.200000,2.389379e-01,-1.507811e-09,2.370887e-09,-2.442504e-05
151,80,0.200000,2.184613e-01,-1.719246e-09,2.143733e-09,-2.544521e-05
152,80,0.200000,1.989579e-01,-1.922813e-09,1.875930e-09,-2.638740e-05
153,80,0.200000,1.803602e-01,-2.075098e-09,1.571530e-09,-2.724750e-05
154,80,0.200000,1.623640e-01,-2.119100e-09,1.234435e-09,-2.801749e-05
155,80,0.200000,1.451330e-01,-2.212800e-09,8.681813e-10,-2.869936e-05
156,80,0.200000,1.283021e-01,-2.298516e-09,4.759563e-10,-2.929103e-05
157,80,0.200000,1.119564e-01,-2.412644e-09,6.088577e-11,-2.979243e-05
158,80,0.200000,9.571151e-02,-2.637272e-09,-3.731807e-10,-3.020204e-05
159,80,0.200000,8.784149e-02,-2.334158e-09,-8.223812e-10,-3.053250e-05
160,80,0.200000,7.667294e-02,-2.338625e-09,-1.281155e-09,-3.078581e-05
161,80,0.200000,6.242467e-02,-2.444004e-09,-1.740651e-09,-3.094151e-05
162,80,0.200000,7.186520e-02,-2.138835e-09,-2.202495e-09,-3.106691e-05
163,80,0.200000,6.899072e-02,-1.948170e-09,-2.656365e-09,-3.112605e-05
164,80,0.200000,5.467483e-02,-1.923466e-09,-3.091593e-09,-3.108348e-05
165,80,0.200000,3.312626e-02,-2.051358e-09,-3.499271e-09,-3.091563e-05
166,80,0.200000,1.223729e-02,-2.250930e-09,-3.872760e-09,-3.061107e-05
167,80,0.200000,2.718867e-02,-2.520682e-09,-4.207088e-09,-3.016709e-05
168,80,0.200000,5.674021e-02,-2.728422e-09,-4.496885e-09,-2.958062e-05
169,80,0.200000,8.853127e-02,-2.859280e-09,-4.736875e-09,-2.885162e-05
170,80,0.200000,1.221318e-01,-2.974771e-09,-4.922952e-09,-2.798692e-05
171,80,0.200000,1.575618e-01,-2.971453e-09,-5.050362e-09,-2.699033e-05
172,80,0.200000,1.958207e-01,-2.991402e-09,-5.116027e-09,-2.587045e-05
173,80,0.200000,2.381293e-01,-2.885423e-09,-5.116070e-09,-2.462846e-05
174,80,0.200000,2.856612e-01,-2.837049e-09,-5.051011e-09,-2.327677e-05
175,80,0.200000,3.398733e-01,-2.466412e-09,-4.916584e-09,-2.180463e-05
176,80,0.200000,4.039403e-01,-2.138885e-09,-4.716493e-09,-2.022632e-05
177,80,0.200000,4.821824e-01,-1.836751e-09,-4.454427e-09,-1.855298e-05
178,80,0.200000,5.814556e-01,-1.554646e-09,-4.133986e-09,-1.679364e-05
179,80,0.200000,6.702927e-01,-1.321771e-09,-3.768716e-09,-1.498958e-05
180,80,0.200000,8.001439e-01,-1.070726e-09,-3.356098e-09,-1.312663e-05
181,80,0.200000,1.009255e+00,-8.576642e-10,-2.896858e-09,-1.120033e-05
182,80,0.200000,1.143770e+00,-6.868550e-10,-2.407117e-09,-9.254417e-06
183,80,0.200000,1.437592e+00,-5.480415e-10,-1.885947e-09,-7.274102e-06
184,80,0.200000,2.112654e+00,-4.315302e-10,-1.333366e-09,-5.245440e-06
185,80,0.200000,3.764905e+00,-3.339739e-10,-7.520993e-10,-3.161615e-06
186,80,0.200000,4.820441e+00,-2.550915e-10,-1.472760e-10,-1.022831e-06
187,80,0.200000,2.791144e+00,-1.890145e-10,4.743291e-10,1.165305e-06
188,80,0.200000,1.800719e+00,-1.396637e-10,1.105451e-09,3.395250e-06
189,80,0.200000,1.324833e+00,-1.018672e-10,1.738257e-09,5.657708e-06
190,80,0.200000,1.051187e+00,-7.607780e-11,2.364489e-09,7.943034e-06
191,80,0.200000,8.731272e-01,-7.838467e-11,2.975410e-09,1.024182e-05
192,80,0.200000,7.470547e-01,-9.770575e-11,3.561500e-09,1.254374e-05
193,80,0.200000,6.522852e-01,-1.459069e-10,4.113118e-09,1.483897e-05
194,80,0.200000,5.780115e-01,-1.122747e-10,4.620266e-09,1.711541e-05
195,80,0.200000,5.177307e-01,-9.287269e-11,5.074354e-09,1.936311e-05
196,80,0.200000,4.675260e-01,-4.617895e-11,5.468664e-09,2.157448e-05
197,80,0.200000,4.248155e-01,-2.455859e-10,5.799330e-09,2.374857e-05
198,80,0.200000,3.877953e-01,-4.369342e-10,6.061256e-09,2.587419e-05
199,80,0.200000,3.579344e-01,-4.671450e-10,6.253623e-09,2.795910e-05
200,80,0.200000,3.309028e-01,-4.733242e-10,6.371379e-09,2.999048e-05
201,80,0.200000,3.058000e-01,-5.067177e-10,6.408857e-09,3.195252e-05
202,80,0.200000,2.935834e-01,-5.314230e-10,6.373366e-09,3.391755e-05
203,80,0.200000,2.770874e-01,-7.617774e-10,6.254119e-09,3.584619e-05
204,80,0.200000,2.568351e-01,-1.211016e-09,6.042188e-09,3.769659e-05
205,80,0.200000,2.351369e-01,-1.849739e-09,5.733368e-09,3.943820e-05
206,80,0.200000,2.135607e-01,-2.632365e-09,5.328393e-09,4.105448e-05
207,80,0.200000,1.926620e-01,-3.510233e-09,4.831346e-09,4.253194e-05
208,80,0.200000,1.728807e-01,-4.286009e-09,4.248873e-09,4.386028e-05
209,80,0.200000,1.543871e-01,-5.100584e-09,3.589200e-09,4.503756e-05
210,80,0.200000,1.370410e-01,-5.661951e-09,2.860719e-09,4.605622e-05
211,80,0.200000,1.209730e-01,-6.415743e-09,2.071258e-09,4.692615e-05
212,80,0.200000,1.057065e-01,-7.144169e-09,1.227937e-09,4.764756e-05
213,80,0.200000,9.127305e-02,-8.300644e-09,3.371010e-10,4.823025e-05
214,80,0.200000,7.716550e-02,-9.152984e-09,-5.929270e-10,4.866423e-05
215,80,0.200000,6.343959e-02,-9.670144e-09,-1.551578e-09,4.893904e-05
216,80,0.200000,4.981171e-02,-1.038727e-08,-2.527738e-09,4.906007e-05
217,80,0.200000,3.678896e-02,-1.088848e-08,-3.507550e-09,4.902476e-05
218,80,0.200000,2.490023e-02,-1.136785e-08,-4.476667e-09,4.883492e-05
219,80,0.200000,2.106013e-02,-1.089664e-08,-5.424622e-09,4.851196e-05
220,80,0.200000,1.805761e-02,-1.017617e-08,-6.336249e-09,4.804628e-05
221,80,0.200000,2.112704e-02,-9.585728e-09,-7.196574e-09,4.742522e-05
222,80,0.200000,1.983490e-02,-8.095213e-09,-8.027942e-09,4.677602e-05
223,80,0.200000,2.049595e-02,-6.952154e-09,-8.810748e-09,4.604723e-05
224,80,0.200000,2.088582e-02,-6.268271e-09,-9.522615e-09,4.518524e-05
225,80,0.200000,3.617669e-02,-5.976597e-09,-1.014372e-08,4.415516e-05
226,80,0.200000,6.290965e-02,-5.913409e-09,-1.065837e-08,4.294261e-05
227,80,0.200000,9.570802e-02,-6.009134e-09,-1.105251e-08,4.154169e-05
228,80,0.200000,1.326305e-01,-6.134189e-09,-1.131422e-08,3.995281e-05
229,80,0.200000,1.730891e-01,-6.226915e-09,-1.143509e-08,3.818243e-05
230,80,0.200000,2.177573e-01,-6.129987e-09,-1.140737e-08,3.623319e-05
231,80,0.200000,2.672052e-01,-5.990526e-09,-1.123032e-08,3.411870e-05
232,80,0.200000,3.234144e-01,-5.791460e-09,-1.090626e-08,3.185334e-05
